업종,구분,5인 미만,5인-9인,10인-29인,30인-49인,50인-69인,70인-99인,100인-149인,150인-299인,300인-499인,500인-999인,1000인이상
A.농업임업어업,사업장수,"10,030","3,660","1,997",223,77,42,25,27,9,2,0
A.농업임업어업,신규성립,481,275,131,11,0,1,0,1,0,0,0
A.농업임업어업,소        멸,849,252,154,6,1,0,0,0,0,0,0
B.광업,사업장수,548,197,208,41,4,5,4,1,1,2,0
B.광업,신규성립,1,0,0,0,0,0,0,0,0,0,0
B.광업,소        멸,32,2,1,0,0,0,0,0,0,0,0
C.제조업,사업장수,"196,185","57,172","44,389","9,199","3,566","2,937","1,903","1,755",482,251,170
C.제조업,신규성립,"2,831",442,120,15,3,4,2,2,0,0,0
C.제조업,소        멸,"7,090",459,240,35,11,7,4,6,2,0,0
D.전기 가스 증기 및 수도사,사업장수,899,142,155,67,25,32,21,36,18,15,21
D.전기 가스 증기 및 수도사,신규성립,27,0,1,0,0,0,0,0,0,0,0
D.전기 가스 증기 및 수도사,소        멸,26,0,0,0,0,0,0,1,0,0,0
E.하수·폐기물 처리 원료재생 및 환경복원업,사업장수,"4,034","1,346","1,292",300,87,62,18,16,5,3,0
E.하수·폐기물 처리 원료재생 및 환경복원업,신규성립,83,25,5,1,0,0,0,0,0,0,0
E.하수·폐기물 처리 원료재생 및 환경복원업,소        멸,150,14,6,0,0,0,0,0,0,0,0
F.건설업,사업장수,"317,856","62,153","44,640","8,001","3,046","2,227","1,747","1,993",865,480,225
F.건설업,신규성립,"63,296","6,131","3,993",593,208,122,87,76,24,13,9
F.건설업,소        멸,"73,300","6,746","4,260",685,275,174,109,99,31,18,10
G.도매 및 소매업,사업장수,"358,336","48,098","18,635","2,429",751,591,341,277,99,72,63
G.도매 및 소매업,신규성립,"6,777",563,62,5,0,0,0,1,0,0,0
G.도매 및 소매업,소        멸,"15,113",387,85,3,0,0,0,0,0,0,0
H.운수업,사업장수,"31,856","5,229","4,593","1,433",712,560,555,491,105,64,32
H.운수업,신규성립,559,56,14,1,3,1,0,1,0,0,0
H.운수업,소        멸,"1,369",44,20,7,3,0,1,1,0,0,0
I.숙박 및 음식점업,사업장수,"201,555","33,386","13,864","1,292",367,197,142,97,39,14,24
I.숙박 및 음식점업,신규성립,"7,524",648,86,5,0,1,0,0,0,0,0
I.숙박 및 음식점업,소        멸,"11,148",609,194,11,1,0,2,1,0,0,0
J.출판 영상 방송통신 및 정보서비스업,사업장수,"30,684","6,210","5,038","1,230",514,378,286,309,83,49,41
J.출판 영상 방송통신 및 정보서비스업,신규성립,633,40,8,0,2,2,0,1,0,0,0
J.출판 영상 방송통신 및 정보서비스업,소        멸,"1,444",21,8,3,1,1,0,0,0,0,0
K.금융 및 보험업,사업장수,"6,414","1,582","1,866",551,263,265,199,159,38,58,67
K.금융 및 보험업,신규성립,121,15,4,1,0,0,0,0,0,0,0
K.금융 및 보험업,소        멸,285,4,2,1,0,0,0,0,0,0,1
L.부동산업 및 임대업,사업장수,"67,225","12,524","5,447",581,186,138,85,77,31,18,11
L.부동산업 및 임대업,신규성립,"1,117",140,35,1,0,1,0,0,0,0,0
L.부동산업 및 임대업,소        멸,"2,568",81,31,3,2,1,0,0,0,0,0
M.전문 과학 및 기술 서비스업,사업장수,"70,690","15,818","8,364","1,500",572,352,282,323,99,80,35
M.전문 과학 및 기술 서비스업,신규성립,"1,096",132,19,2,3,0,0,0,0,1,0
M.전문 과학 및 기술 서비스업,소        멸,"2,299",52,15,2,3,2,0,0,0,0,0
N.사업시설관리 및 사업지원 서비스업,사업장수,"36,344","7,833","6,442","1,860",836,715,631,695,327,251,147
N.사업시설관리 및 사업지원 서비스업,신규성립,623,142,46,4,1,1,0,1,0,0,0
N.사업시설관리 및 사업지원 서비스업,소        멸,"1,539",142,80,18,9,3,2,4,3,0,0
O.공공행정 국방 및 사회보장 행정,사업장수,"17,187","2,920","2,481",548,228,180,169,185,64,29,5
O.공공행정 국방 및 사회보장 행정,신규성립,96,21,11,1,1,0,0,0,0,0,0
O.공공행정 국방 및 사회보장 행정,소        멸,742,209,107,29,8,7,5,6,1,1,0
P.교육 서비스업,사업장수,"41,843","6,147","8,722","1,389",333,279,148,148,73,57,36
P.교육 서비스업,신규성립,723,58,11,1,0,0,0,0,0,0,0
P.교육 서비스업,소        멸,"2,202",28,9,1,0,0,1,0,0,1,0
Q.보건업 및 사회복지 서비스업,사업장수,"83,147","31,651","20,668","3,571","1,595","1,140",761,548,99,75,59
Q.보건업 및 사회복지 서비스업,신규성립,656,217,108,15,5,1,1,2,0,0,0
Q.보건업 및 사회복지 서비스업,소        멸,"1,082",157,93,17,8,0,2,1,0,0,0
R.예술 스포츠 및 여가관련 서비스업,사업장수,"21,117","2,789","1,498",315,166,127,74,67,20,9,7
R.예술 스포츠 및 여가관련 서비스업,신규성립,694,74,24,1,1,0,0,0,0,0,0
R.예술 스포츠 및 여가관련 서비스업,소        멸,"1,232",28,18,0,0,0,1,1,0,0,0
S.협회 및 단체 수리 및 기타 개인 서비스업,사업장수,"52,505","7,995","5,579","1,022",362,215,107,106,22,8,5
S.협회 및 단체 수리 및 기타 개인 서비스업,신규성립,833,78,27,4,2,2,0,0,0,0,0
S.협회 및 단체 수리 및 기타 개인 서비스업,소        멸,"2,256",53,38,3,2,1,0,0,0,0,0
T.가구내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,사업장수,11,3,1,0,0,0,0,0,0,0,0
T.가구내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,신규성립,0,0,0,0,0,0,0,0,0,0,0
T.가구내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,소        멸,0,0,0,0,0,0,0,0,0,0,0
U.국제 및 외국기관,사업장수,22,11,19,2,0,1,1,1,1,1,3
U.국제 및 외국기관,신규성립,0,0,0,0,0,0,0,0,0,0,0
U.국제 및 외국기관,소        멸,0,0,0,0,0,0,0,0,0,0,0
