지역,구분,5인 미만,5인-9인,10인-29인,30인-49인,50인-69인,70인-99인,100인-149인,150인-299인,300인-499인,500인-999인,1000인이상
서울,사업장수,"344,994","60,450","39,708","6,900","2,762","2,087","1,744","1,892",646,539,454
서울,신규성립,"13,013","1,236",713,86,33,16,9,12,2,2,0
서울,소        멸,"18,499","1,282",821,101,39,34,15,18,2,3,1
부산,사업장수,"89,099","20,288","11,829","2,124",789,654,481,426,156,78,37
부산,신규성립,"4,196",421,214,32,15,5,1,4,3,1,2
부산,소        멸,"5,651",399,273,49,15,10,8,9,1,0,0
대구,사업장수,"62,218","14,301","7,484","1,223",498,381,273,238,68,36,18
대구,신규성립,"2,544",229,122,16,4,2,0,1,0,0,0
대구,소        멸,"5,902",350,204,33,11,6,7,6,1,1,0
인천,사업장수,"78,008","15,445","10,065","1,748",701,498,375,317,105,63,37
인천,신규성립,"6,237",415,203,34,16,4,3,3,3,0,1
인천,소        멸,"5,637",239,126,29,13,6,0,1,3,0,0
광주,사업장수,"38,217","8,312","4,257",783,255,242,189,148,52,23,14
광주,신규성립,"1,699",279,99,13,1,3,3,6,0,0,0
광주,소        멸,"1,995",144,67,8,2,2,1,3,0,0,0
대전,사업장수,"38,059","8,790","4,321",799,293,202,148,157,63,50,24
대전,신규성립,"1,402",649,91,11,5,3,1,1,0,1,0
대전,소        멸,"3,232",221,97,13,6,1,0,1,0,0,0
울산,사업장수,"28,516","6,170","4,288",986,486,378,226,192,68,41,22
울산,신규성립,"2,088",242,142,26,18,4,1,4,0,0,0
울산,소        멸,"2,474",332,198,28,11,8,6,5,2,1,0
세종,사업장수,"7,200","1,482","1,054",235,109,65,45,58,35,17,2
세종,신규성립,587,60,48,12,5,1,1,0,0,1,0
세종,소        멸,518,45,25,5,5,1,4,0,2,0,0
경기,사업장수,"373,193","74,493","49,301","8,807","3,112","2,460","1,638","1,591",551,329,154
경기,신규성립,"18,638","2,038","1,207",159,52,38,33,22,6,8,3
경기,소        멸,"25,187","1,717",948,157,61,50,25,29,10,1,4
강원,사업장수,"54,594","9,085","5,818",992,415,303,191,207,66,41,12
강원,신규성립,"4,160",390,244,29,13,11,2,6,1,0,0
강원,소        멸,"5,885",470,291,41,13,11,8,7,0,2,0
충북,사업장수,"46,855","10,626","6,821","1,223",516,362,257,260,77,36,16
충북,신규성립,"3,133",364,213,33,10,9,6,5,3,0,0
충북,소        멸,"5,408",455,299,44,27,12,10,8,2,0,0
충남,사업장수,"69,395","12,908","9,090","1,806",753,580,430,386,122,63,33
충남,신규성립,"4,805",516,324,45,13,12,11,7,0,0,0
충남,소        멸,"3,569",395,248,53,20,8,18,6,8,3,2
전북,사업장수,"56,752","10,726","6,508","1,213",451,357,230,224,63,32,21
전북,신규성립,"4,003",348,176,30,6,3,1,1,0,0,0
전북,소        멸,"2,009",350,161,26,6,2,2,1,1,0,0
전남,사업장수,"57,026","11,239","7,455","1,326",525,366,250,234,66,34,20
전남,신규성립,"6,147",456,223,36,8,13,4,3,0,0,0
전남,소        멸,"8,995",605,374,57,18,7,4,6,2,1,3
경북,사업장수,"80,748","17,909","11,258","2,135",857,553,383,363,155,59,32
경북,신규성립,"7,570",751,305,43,18,7,8,4,4,0,0
경북,소        멸,"16,573","1,093",710,107,46,23,8,10,3,6,1
경남,사업장수,"98,739","20,101","13,578","2,653",970,819,571,550,157,80,49
경남,신규성립,"6,182",501,263,31,7,2,4,4,1,0,3
경남,소        멸,"11,400",997,359,46,24,11,8,9,0,0,0
제주,사업장수,"24,879","4,545","3,065",601,198,136,68,68,30,17,6
제주,신규성립,"1,771",165,120,25,5,3,2,2,1,1,0
제주,소        멸,"1,793",194,160,27,7,4,3,1,0,2,0
